RAM 2298/7850MB (lfb 560x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1878,off,off,91%@1887,16%@1878,8%@1882] EMC_FREQ 6%@1600 GR3D_FREQ 2%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@50C BCPU@51.5C thermal@51.4C Tdiode@50C VDD_SYS_GPU 228/464 VDD_SYS_SOC 686/689 VDD_4V0_WIFI 38/57 VDD_IN 3548/3832 VDD_SYS_CPU 915/894 VDD_SYS_DDR 961/1017
RAM 2320/7850MB (lfb 560x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1880,off,off,11%@1880,60%@1881,9%@1881] EMC_FREQ 6%@1600 GR3D_FREQ 89%@726 VIC_FREQ 0%@115 APE 150 PLL@52C MCPU@52C PMIC@100C Tboard@47C GPU@50C BCPU@52C thermal@51.4C Tdiode@50C VDD_SYS_GPU 305/457 VDD_SYS_SOC 686/689 VDD_4V0_WIFI 38/56 VDD_IN 3663/3825 VDD_SYS_CPU 915/895 VDD_SYS_DDR 1019/1017
RAM 2327/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1877,off,off,25%@1881,41%@1886,0%@1881] EMC_FREQ 7%@1600 GR3D_FREQ 85%@726 VIC_FREQ 0%@115 APE 150 PLL@52C MCPU@52C PMIC@100C Tboard@47C GPU@50.5C BCPU@52C thermal@51.4C Tdiode@50C VDD_SYS_GPU 610/463 VDD_SYS_SOC 686/689 VDD_4V0_WIFI 38/55 VDD_IN 4006/3832 VDD_SYS_CPU 839/892 VDD_SYS_DDR 1134/1021
RAM 2330/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [8%@1902,off,off,45%@1882,0%@1880,0%@1881] EMC_FREQ 8%@1600 GR3D_FREQ 99%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.1C Tdiode@50.75C VDD_SYS_GPU 839/478 VDD_SYS_SOC 762/692 VDD_4V0_WIFI 19/54 VDD_IN 4348/3853 VDD_SYS_CPU 839/890 VDD_SYS_DDR 1269/1031
RAM 2335/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1880,off,off,70%@1882,0%@1881,0%@1882] EMC_FREQ 9%@1600 GR3D_FREQ 8%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.1C Tdiode@50.75C VDD_SYS_GPU 915/495 VDD_SYS_SOC 762/694 VDD_4V0_WIFI 19/53 VDD_IN 4500/3878 VDD_SYS_CPU 763/885 VDD_SYS_DDR 1327/1043
RAM 2337/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1870,off,off,36%@1813,0%@1820,0%@1805] EMC_FREQ 10%@1600 GR3D_FREQ 99%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.1C Tdiode@50.75C VDD_SYS_GPU 1143/519 VDD_SYS_SOC 762/697 VDD_4V0_WIFI 19/51 VDD_IN 4806/3912 VDD_SYS_CPU 762/881 VDD_SYS_DDR 1423/1057
RAM 2338/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1903,off,off,70%@1882,0%@1881,0%@1882] EMC_FREQ 10%@1600 GR3D_FREQ 0%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51.5C BCPU@51.5C thermal@51.1C Tdiode@50.75C VDD_SYS_GPU 1143/541 VDD_SYS_SOC 762/699 VDD_4V0_WIFI 19/50 VDD_IN 4844/3945 VDD_SYS_CPU 763/877 VDD_SYS_DDR 1442/1071
RAM 2338/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1882,off,off,50%@1882,0%@1881,0%@1889] EMC_FREQ 11%@1600 GR3D_FREQ 85%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.1C Tdiode@50.75C VDD_SYS_GPU 1296/567 VDD_SYS_SOC 762/701 VDD_4V0_WIFI 19/49 VDD_IN 5035/3983 VDD_SYS_CPU 686/870 VDD_SYS_DDR 1480/1085
RAM 2337/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1904,off,off,54%@1882,0%@1881,0%@1881] EMC_FREQ 12%@1600 GR3D_FREQ 31%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.1C Tdiode@51C VDD_SYS_GPU 1372/594 VDD_SYS_SOC 762/703 VDD_4V0_WIFI 19/48 VDD_IN 5149/4022 VDD_SYS_CPU 686/864 VDD_SYS_DDR 1519/1099
RAM 2338/7850MB (lfb 559x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1873,off,off,66%@1880,0%@1882,0%@1883] EMC_FREQ 12%@1600 GR3D_FREQ 0%@726 VIC_FREQ 0%@115 APE 150 PLL@51.5C MCPU@51.5C PMIC@100C Tboard@47C GPU@51C BCPU@51.5C thermal@51.1C Tdiode@51C VDD_SYS_GPU 1296/617 VDD_SYS_SOC 762/705 VDD_4V0_WIFI 19/47 VDD_IN 5111/4057 VDD_SYS_CPU 686/858 VDD_SYS_DDR 1519/1113
