Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
123,12300,1497.0,45,0,10,0,45,88.0,1300.0,762.0,3352.0,1673.0,6644.0
124,12400,2058.0,63,0,0,8,63,87.0,1300.0,762.0,3352.0,1692.0,6663.0
125,12500,2057.0,70,0,0,0,70,0.0,1300.0,762.0,3276.0,1692.0,6587.0
126,12600,1896.0,36,0,36,0,36,0.0,1300.0,838.0,3276.0,1692.0,6663.0
127,12700,2033.0,9,0,63,0,63,0.0,1300.0,762.0,3200.0,1673.0,6492.0
128,12800,2035.0,50,0,0,9,50,29.0,1300.0,762.0,3276.0,1673.0,6568.0
129,12900,2027.0,18,0,40,0,40,60.0,1300.0,762.0,3352.0,1692.0,6663.0
130,13000,1616.0,30,0,18,0,30,80.0,1300.0,762.0,3428.0,1711.0,6739.0
131,13100,2050.0,60,0,9,8,60,68.0,1300.0,762.0,3352.0,1692.0,6663.0
132,13200,959.0,41,0,36,0,41,0.0,1300.0,762.0,3352.0,1692.0,6663.0
133,13300,2036.0,70,0,8,0,70,0.0,1300.0,762.0,3123.0,1653.0,6395.0
134,13400,1996.0,23,0,60,0,60,81.0,1300.0,762.0,3200.0,1673.0,6492.0
135,13500,1728.0,40,8,25,0,40,99.0,1300.0,762.0,3276.0,1673.0,6568.0
136,13600,2060.0,54,0,0,0,54,99.0,1300.0,762.0,3352.0,1692.0,6663.0
137,13700,2034.0,36,0,27,8,36,35.0,1300.0,762.0,3276.0,1692.0,6606.0
138,13800,2037.0,30,0,41,0,41,32.0,1300.0,762.0,3200.0,1673.0,6511.0
139,13900,2032.0,36,30,0,0,36,0.0,1300.0,762.0,3200.0,1653.0,6472.0
140,14000,1996.0,16,0,54,0,54,0.0,1300.0,762.0,3200.0,1653.0,6472.0
141,14100,2035.0,40,0,27,0,40,99.0,1300.0,762.0,3276.0,1673.0,6568.0
142,14200,1737.0,30,0,27,0,30,93.0,1300.0,762.0,3352.0,1692.0,6663.0
143,14300,1893.0,41,33,0,0,41,0.0,1300.0,762.0,3200.0,1673.0,6492.0
144,14400,2034.0,40,0,36,0,40,0.0,1300.0,762.0,3123.0,1634.0,6376.0
145,14500,1958.0,33,0,18,0,33,99.0,1300.0,762.0,3200.0,1653.0,6472.0
146,14600,2052.0,9,0,54,0,54,99.0,1300.0,762.0,3276.0,1673.0,6568.0
147,14700,2049.0,41,36,0,0,41,50.0,1300.0,762.0,3123.0,1653.0,6376.0
148,14800,2057.0,75,0,0,0,75,0.0,1300.0,762.0,3047.0,1634.0,6281.0
149,14900,2036.0,30,0,0,41,41,0.0,1300.0,762.0,3047.0,1634.0,6281.0
150,15000,2035.0,54,0,0,0,54,34.0,1300.0,762.0,3123.0,1653.0,6376.0
151,15100,2033.0,45,0,20,0,45,28.0,1300.0,762.0,3200.0,1673.0,6473.0
152,15200,1976.0,50,0,18,0,50,99.0,1300.0,762.0,3276.0,1692.0,6568.0
153,15300,1905.0,54,0,0,16,54,99.0,1300.0,762.0,3352.0,1711.0,6663.0
154,15400,499.0,9,0,0,58,58,99.0,1300.0,762.0,3352.0,1711.0,6663.0
155,15500,2058.0,63,0,0,0,63,15.0,1300.0,762.0,3276.0,1711.0,6587.0
156,15600,2044.0,63,15,16,0,63,24.0,1300.0,762.0,3276.0,1673.0,6549.0
157,15700,2068.0,0,30,36,0,36,0.0,1300.0,762.0,3200.0,1673.0,6473.0
158,15800,2035.0,63,0,16,8,63,0.0,1300.0,762.0,3123.0,1653.0,6376.0
159,15900,2015.0,54,0,8,0,54,94.0,1300.0,762.0,3200.0,1673.0,6473.0
160,16000,1652.0,41,36,0,8,41,86.0,1300.0,762.0,3276.0,1692.0,6568.0
161,16100,1881.0,54,8,0,0,54,99.0,1300.0,762.0,3352.0,1711.0,6663.0
162,16200,2049.0,40,27,9,0,40,27.0,1300.0,762.0,3276.0,1692.0,6568.0
163,16300,2058.0,54,0,8,9,54,35.0,1300.0,838.0,3276.0,1673.0,6625.0
164,16400,2056.0,36,27,0,8,36,0.0,1300.0,838.0,3200.0,1673.0,6549.0
165,16500,2036.0,63,0,8,0,63,0.0,1300.0,838.0,3123.0,1653.0,6452.0
166,16600,2035.0,63,0,0,0,63,48.0,1300.0,838.0,3200.0,1673.0,6549.0
167,16700,1959.0,10,0,54,0,54,40.0,1300.0,762.0,3200.0,1692.0,6492.0
168,16800,2070.0,40,0,18,8,40,92.0,1300.0,762.0,3276.0,1692.0,6568.0
169,16900,2040.0,60,8,0,0,60,77.0,1300.0,762.0,3276.0,1711.0,6587.0
170,17000,2057.0,0,0,70,0,70,0.0,1300.0,762.0,3200.0,1673.0,6473.0
171,17100,2034.0,9,0,66,0,66,0.0,1300.0,762.0,3047.0,1634.0,6281.0
172,17200,2036.0,55,8,9,0,55,0.0,1300.0,762.0,3123.0,1653.0,6376.0
173,17300,1960.0,50,0,0,0,50,99.0,1300.0,762.0,3200.0,1673.0,6473.0
174,17400,498.0,16,0,61,9,61,99.0,1300.0,686.0,3276.0,1692.0,6492.0
175,17500,2060.0,36,0,36,0,36,0.0,1300.0,762.0,3123.0,1673.0,6396.0
176,17600,2065.0,16,0,66,9,66,0.0,1300.0,762.0,3123.0,1653.0,6376.0
177,17700,2035.0,30,8,27,0,30,0.0,1300.0,762.0,3047.0,1653.0,6300.0
178,17800,2035.0,27,0,30,0,30,28.0,1300.0,762.0,3123.0,1653.0,6376.0
179,17900,1981.0,50,8,0,0,50,50.0,1300.0,762.0,3200.0,1673.0,6473.0
180,18000,2069.0,66,0,8,0,66,94.0,1300.0,762.0,3276.0,1692.0,6568.0
181,18100,2057.0,60,8,0,0,60,99.0,1300.0,762.0,3352.0,1711.0,6682.0
182,18200,2034.0,81,50,40,27,81,9.0,1300.0,990.0,3276.0,1711.0,6834.0
183,18300,2034.0,100,90,71,27,100,11.0,1300.0,1219.0,3200.0,1711.0,6987.0
184,18400,2031.0,81,81,50,22,81,0.0,1300.0,1372.0,3274.0,1750.0,7272.0
185,18500,2035.0,66,10,60,10,66,0.0,1300.0,1371.0,3274.0,1750.0,7252.0
186,18600,2031.0,25,60,27,66,66,7.0,1300.0,1371.0,3198.0,1750.0,7176.0
187,18700,2031.0,55,91,0,0,91,0.0,1300.0,1371.0,3198.0,1750.0,7176.0
188,18800,2034.0,33,40,72,27,72,0.0,1300.0,1371.0,3274.0,1730.0,7232.0
189,18900,2035.0,54,9,100,9,100,32.0,1300.0,1447.0,3274.0,1730.0,7308.0
190,19000,1971.0,27,8,100,36,100,34.0,1300.0,1447.0,3274.0,1750.0,7328.0
191,19100,2030.0,70,54,45,45,70,99.0,1300.0,1447.0,3351.0,1750.0,7405.0
192,19200,2030.0,10,90,100,60,100,99.0,1300.0,1600.0,3427.0,1769.0,7653.0
193,19300,2032.0,83,10,100,72,100,3.0,1300.0,1676.0,3351.0,1769.0,7653.0
194,19400,2032.0,83,9,100,66,100,44.0,1300.0,1752.0,3351.0,1788.0,7747.0
