RAM 2244/7850MB (lfb 704x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1993,off,off,0%@1994,0%@1994,80%@1994] EMC_FREQ 7%@1600 GR3D_FREQ 17%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@44C GPU@48.5C BCPU@49.5C thermal@48.7C Tdiode@47.5C VDD_SYS_GPU 610/450 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 19/4 VDD_IN 4119/3894 VDD_SYS_CPU 1068/1061 VDD_SYS_DDR 1057/1013
RAM 2247/7850MB (lfb 703x4MB) SWAP 0/3925MB (cached 0MB) CPU [36%@1678,off,off,9%@1662,0%@1665,33%@1674] EMC_FREQ 8%@1600 GR3D_FREQ 59%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@44C GPU@49C BCPU@49.5C thermal@48.7C Tdiode@47.5C VDD_SYS_GPU 1143/480 VDD_SYS_SOC 686/686 VDD_4V0_WIFI 19/4 VDD_IN 4729/3930 VDD_SYS_CPU 991/1057 VDD_SYS_DDR 1211/1022
RAM 2252/7850MB (lfb 703x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1747,off,off,0%@1728,0%@1728,60%@1727] EMC_FREQ 9%@1600 GR3D_FREQ 70%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@44C GPU@49C BCPU@49.5C thermal@48.7C Tdiode@48.5C VDD_SYS_GPU 1525/524 VDD_SYS_SOC 762/689 VDD_4V0_WIFI 0/4 VDD_IN 5263/3986 VDD_SYS_CPU 991/1055 VDD_SYS_DDR 1346/1035
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1061,off,off,0%@2052,0%@2034,54%@2036] EMC_FREQ 10%@1600 GR3D_FREQ 75%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@44C GPU@49.5C BCPU@49.5C thermal@48.7C Tdiode@48.5C VDD_SYS_GPU 1753/573 VDD_SYS_SOC 762/692 VDD_4V0_WIFI 0/4 VDD_IN 5642/4052 VDD_SYS_CPU 915/1049 VDD_SYS_DDR 1423/1051
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@2071,off,off,0%@2034,8%@2035,70%@2035] EMC_FREQ 11%@1600 GR3D_FREQ 0%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@44C GPU@48.5C BCPU@49.5C thermal@48.7C Tdiode@48.5C VDD_SYS_GPU 1906/624 VDD_SYS_SOC 762/694 VDD_4V0_WIFI 19/5 VDD_IN 5833/4120 VDD_SYS_CPU 915/1044 VDD_SYS_DDR 1480/1067
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@960,off,off,0%@959,33%@960,30%@960] EMC_FREQ 12%@1600 GR3D_FREQ 0%@1122 VIC_FREQ 0%@115 APE 150 PLL@50C MCPU@50C PMIC@100C Tboard@44C GPU@49C BCPU@50C thermal@48.7C Tdiode@49.25C VDD_SYS_GPU 2058/677 VDD_SYS_SOC 762/697 VDD_4V0_WIFI 19/5 VDD_IN 6024/4191 VDD_SYS_CPU 838/1036 VDD_SYS_DDR 1519/1084
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@2035,off,off,0%@2036,30%@2036,36%@2034] EMC_FREQ 13%@1600 GR3D_FREQ 13%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@44C GPU@50C BCPU@49.5C thermal@48.7C Tdiode@49.25C VDD_SYS_GPU 2134/729 VDD_SYS_SOC 762/699 VDD_4V0_WIFI 0/5 VDD_IN 6138/4260 VDD_SYS_CPU 838/1029 VDD_SYS_DDR 1538/1100
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@2025,off,off,0%@2026,0%@2024,58%@2028] EMC_FREQ 14%@1600 GR3D_FREQ 22%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@44C GPU@49C BCPU@49.5C thermal@49.3C Tdiode@49.5C VDD_SYS_GPU 2286/783 VDD_SYS_SOC 838/704 VDD_4V0_WIFI 0/5 VDD_IN 6291/4330 VDD_SYS_CPU 838/1023 VDD_SYS_DDR 1596/1117
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@2025,off,off,0%@2027,0%@2025,63%@2025] EMC_FREQ 14%@1600 GR3D_FREQ 99%@1122 VIC_FREQ 0%@115 APE 150 PLL@49.5C MCPU@49.5C PMIC@100C Tboard@44C GPU@49.5C BCPU@49.5C thermal@49.3C Tdiode@49.5C VDD_SYS_GPU 2362/835 VDD_SYS_SOC 838/708 VDD_4V0_WIFI 0/5 VDD_IN 6443/4401 VDD_SYS_CPU 838/1016 VDD_SYS_DDR 1615/1134
RAM 2258/7850MB (lfb 701x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1960,off,off,0%@1963,45%@1964,10%@1963] EMC_FREQ 15%@1600 GR3D_FREQ 86%@1122 VIC_FREQ 0%@115 APE 150 PLL@50C MCPU@50C PMIC@100C Tboard@44C GPU@50C BCPU@50C thermal@49.3C Tdiode@49C VDD_SYS_GPU 2439/887 VDD_SYS_SOC 838/712 VDD_4V0_WIFI 0/4 VDD_IN 6558/4470 VDD_SYS_CPU 838/1011 VDD_SYS_DDR 1653/1150
