RAM 2201/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1500,off,off,100%@1498,0%@1501,8%@1499] EMC_FREQ 5%@1600 GR3D_FREQ 5%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@46C BCPU@48C thermal@47.4C Tdiode@46.25C VDD_SYS_GPU 381/415 VDD_SYS_SOC 686/682 VDD_4V0_WIFI 19/12 VDD_IN 3396/3426 VDD_SYS_CPU 686/658 VDD_SYS_DDR 980/979
RAM 2229/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1573,off,off,58%@1575,8%@1574,50%@1574] EMC_FREQ 5%@1600 GR3D_FREQ 1%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@46.5C BCPU@48C thermal@47.4C Tdiode@46.25C VDD_SYS_GPU 381/414 VDD_SYS_SOC 686/682 VDD_4V0_WIFI 19/13 VDD_IN 3358/3423 VDD_SYS_CPU 686/659 VDD_SYS_DDR 961/978
RAM 2252/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [15%@1574,off,off,0%@1574,0%@1574,92%@1574] EMC_FREQ 5%@1600 GR3D_FREQ 3%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@46.5C BCPU@48C thermal@47.4C Tdiode@46.25C VDD_SYS_GPU 381/412 VDD_SYS_SOC 686/682 VDD_4V0_WIFI 19/13 VDD_IN 3319/3419 VDD_SYS_CPU 686/660 VDD_SYS_DDR 961/977
RAM 2278/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [16%@1498,off,off,8%@1498,0%@1499,100%@1497] EMC_FREQ 5%@1600 GR3D_FREQ 0%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@46.5C BCPU@48C thermal@47.4C Tdiode@46.25C VDD_SYS_GPU 381/411 VDD_SYS_SOC 686/682 VDD_4V0_WIFI 19/13 VDD_IN 3319/3415 VDD_SYS_CPU 686/661 VDD_SYS_DDR 942/976
RAM 2300/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1574,off,off,0%@1574,0%@1575,100%@1575] EMC_FREQ 4%@1600 GR3D_FREQ 1%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@46.5C BCPU@48C thermal@47.4C Tdiode@46.25C VDD_SYS_GPU 457/413 VDD_SYS_SOC 686/683 VDD_4V0_WIFI 19/13 VDD_IN 3434/3416 VDD_SYS_CPU 686/662 VDD_SYS_DDR 961/975
RAM 2306/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1572,off,off,0%@1575,0%@1575,66%@1576] EMC_FREQ 6%@1600 GR3D_FREQ 39%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@47C BCPU@48C thermal@47.4C Tdiode@47C VDD_SYS_GPU 991/434 VDD_SYS_SOC 686/683 VDD_4V0_WIFI 19/14 VDD_IN 4119/3442 VDD_SYS_CPU 610/660 VDD_SYS_DDR 1115/981
RAM 2311/7850MB (lfb 587x4MB) SWAP 0/3925MB (cached 0MB) CPU [8%@1592,off,off,8%@1573,8%@1574,60%@1574] EMC_FREQ 7%@1600 GR3D_FREQ 43%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@48C BCPU@48C thermal@47.4C Tdiode@47C VDD_SYS_GPU 1448/470 VDD_SYS_SOC 762/686 VDD_4V0_WIFI 0/13 VDD_IN 4806/3490 VDD_SYS_CPU 610/659 VDD_SYS_DDR 1269/991
RAM 2316/7850MB (lfb 586x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1574,off,off,0%@1574,0%@1573,80%@1573] EMC_FREQ 8%@1600 GR3D_FREQ 0%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@47.5C BCPU@48C thermal@47.4C Tdiode@48.25C VDD_SYS_GPU 1601/509 VDD_SYS_SOC 762/688 VDD_4V0_WIFI 0/13 VDD_IN 4996/3542 VDD_SYS_CPU 610/657 VDD_SYS_DDR 1327/1002
RAM 2321/7850MB (lfb 585x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1574,off,off,0%@1575,0%@1574,63%@1574] EMC_FREQ 9%@1600 GR3D_FREQ 57%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@48.5C BCPU@48C thermal@47.4C Tdiode@48.25C VDD_SYS_GPU 1982/558 VDD_SYS_SOC 762/691 VDD_4V0_WIFI 0/12 VDD_IN 5414/3605 VDD_SYS_CPU 610/655 VDD_SYS_DDR 1403/1016
RAM 2322/7850MB (lfb 585x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1592,off,off,0%@1575,0%@1573,58%@1575] EMC_FREQ 10%@1600 GR3D_FREQ 99%@1236 VIC_FREQ 0%@115 APE 150 PLL@48C MCPU@48C PMIC@100C Tboard@43C GPU@47.5C BCPU@48C thermal@47.4C Tdiode@48C VDD_SYS_GPU 2286/614 VDD_SYS_SOC 762/693 VDD_4V0_WIFI 0/12 VDD_IN 5795/3675 VDD_SYS_CPU 610/654 VDD_SYS_DDR 1461/1030
