Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
110,11000,345.0,9,0,54,0,54,99.0,1122.0,762.0,2667.0,1730.0,5997.0
111,11100,345.0,0,0,63,0,63,97.0,1122.0,762.0,2667.0,1730.0,5997.0
112,11200,345.0,16,8,63,0,63,0.0,1122.0,762.0,2667.0,1711.0,5978.0
113,11300,345.0,9,0,54,0,54,15.0,1122.0,762.0,2667.0,1730.0,5997.0
114,11400,1299.0,15,0,33,41,41,38.0,1122.0,762.0,2667.0,1730.0,5997.0
115,11500,930.0,9,8,0,60,60,42.0,1122.0,762.0,2591.0,1711.0,5902.0
116,11600,2073.0,0,0,9,66,66,0.0,1122.0,762.0,2515.0,1711.0,5826.0
117,11700,1994.0,30,0,0,36,36,0.0,1122.0,762.0,2515.0,1692.0,5807.0
118,11800,2020.0,0,8,0,54,54,75.0,1122.0,762.0,2591.0,1711.0,5902.0
119,11900,1964.0,0,0,45,10,45,53.0,1122.0,762.0,2591.0,1711.0,5902.0
120,12000,1804.0,0,0,63,0,63,99.0,1122.0,762.0,2667.0,1730.0,5997.0
121,12100,2035.0,8,0,58,0,58,99.0,1122.0,762.0,2667.0,1730.0,5997.0
122,12200,1881.0,9,0,63,8,63,52.0,1122.0,762.0,2744.0,1750.0,6094.0
123,12300,1375.0,9,0,54,8,54,83.0,1122.0,762.0,2742.0,1750.0,6092.0
124,12400,2064.0,9,0,0,60,60,84.0,1122.0,762.0,2666.0,1730.0,5996.0
125,12500,2072.0,0,0,0,63,63,5.0,1122.0,762.0,2667.0,1730.0,5997.0
126,12600,2073.0,15,0,0,63,63,5.0,1122.0,762.0,2591.0,1711.0,5902.0
127,12700,2023.0,0,0,0,70,70,1.0,1122.0,762.0,2515.0,1711.0,5826.0
128,12800,2025.0,16,0,0,54,54,0.0,1122.0,762.0,2591.0,1692.0,5883.0
129,12900,2023.0,0,0,0,60,60,76.0,1122.0,838.0,2591.0,1711.0,5978.0
130,13000,2025.0,0,0,0,58,58,62.0,1122.0,762.0,2667.0,1730.0,5997.0
131,13100,1960.0,8,9,0,63,63,99.0,1122.0,762.0,2667.0,1730.0,5997.0
132,13200,1804.0,0,0,0,54,54,99.0,1122.0,762.0,2744.0,1730.0,6074.0
133,13300,2072.0,0,0,0,55,55,48.0,1122.0,762.0,2667.0,1730.0,6016.0
134,13400,2067.0,9,0,0,63,63,44.0,1122.0,762.0,2667.0,1711.0,5997.0
135,13500,2070.0,9,8,9,70,70,0.0,1122.0,838.0,2591.0,1711.0,5997.0
136,13600,2034.0,9,9,0,66,66,0.0,1122.0,838.0,2591.0,1711.0,5997.0
137,13700,2027.0,0,0,0,60,60,30.0,1122.0,838.0,2591.0,1711.0,5997.0
138,13800,2022.0,0,0,0,58,58,13.0,1122.0,838.0,2591.0,1711.0,5978.0
139,13900,1996.0,9,0,0,60,60,99.0,1122.0,838.0,2667.0,1711.0,6054.0
140,14000,1959.0,0,8,0,58,58,99.0,1122.0,762.0,2667.0,1711.0,5978.0
141,14100,1349.0,36,0,0,20,36,92.0,1122.0,762.0,2744.0,1730.0,6093.0
142,14200,2069.0,36,0,0,30,36,38.0,1122.0,762.0,2667.0,1711.0,5997.0
143,14300,2035.0,9,0,0,66,66,40.0,1122.0,762.0,2591.0,1692.0,5902.0
144,14400,2020.0,16,0,0,66,66,0.0,1122.0,762.0,2591.0,1692.0,5902.0
145,14500,2026.0,0,0,15,63,63,0.0,1122.0,838.0,2515.0,1692.0,5902.0
146,14600,2024.0,9,0,0,60,60,27.0,1122.0,762.0,2515.0,1711.0,5845.0
147,14700,2025.0,0,0,0,54,54,10.0,1122.0,762.0,2591.0,1711.0,5921.0
148,14800,2026.0,0,0,0,66,66,86.0,1122.0,762.0,2591.0,1730.0,5940.0
149,14900,1962.0,0,0,9,55,55,68.0,1122.0,762.0,2667.0,1730.0,6016.0
150,15000,2034.0,15,0,0,58,58,99.0,1122.0,762.0,2667.0,1730.0,5997.0
151,15100,1881.0,0,0,0,60,60,99.0,1122.0,762.0,2744.0,1750.0,6094.0
152,15200,2067.0,9,0,0,54,54,50.0,1122.0,762.0,2666.0,1750.0,6016.0
153,15300,2066.0,0,0,0,63,63,65.0,1122.0,762.0,2667.0,1730.0,5997.0
154,15400,2067.0,16,0,0,63,63,0.0,1122.0,762.0,2667.0,1730.0,5997.0
155,15500,2024.0,0,8,0,72,72,0.0,1122.0,762.0,2515.0,1692.0,5807.0
156,15600,2036.0,0,0,0,60,60,52.0,1122.0,838.0,2591.0,1711.0,5978.0
157,15700,1997.0,9,9,15,54,54,66.0,1122.0,762.0,2591.0,1711.0,5902.0
158,15800,1960.0,9,0,0,60,60,99.0,1122.0,762.0,2667.0,1730.0,5997.0
159,15900,1160.0,0,8,0,54,54,99.0,1122.0,762.0,2667.0,1730.0,5997.0
160,16000,2071.0,8,0,0,60,60,99.0,1122.0,762.0,2667.0,1750.0,6017.0
161,16100,959.0,0,36,0,36,36,25.0,1122.0,838.0,2591.0,1730.0,5997.0
162,16200,2025.0,0,27,0,41,41,0.0,1122.0,762.0,2439.0,1673.0,5712.0
163,16300,2025.0,0,9,0,60,60,57.0,1122.0,762.0,2515.0,1692.0,5807.0
164,16400,1996.0,15,0,9,58,58,41.0,1122.0,762.0,2515.0,1711.0,5826.0
165,16500,1959.0,0,0,0,60,60,99.0,1122.0,762.0,2591.0,1711.0,5902.0
166,16600,1800.0,9,0,0,58,58,99.0,1122.0,762.0,2667.0,1730.0,5997.0
167,16700,2063.0,9,9,9,60,60,42.0,1122.0,762.0,2591.0,1730.0,5921.0
168,16800,2070.0,0,0,0,63,63,39.0,1122.0,762.0,2515.0,1711.0,5826.0
169,16900,2065.0,0,0,9,70,70,0.0,1122.0,762.0,2515.0,1692.0,5807.0
170,17000,2023.0,30,0,0,27,30,0.0,1122.0,762.0,2515.0,1673.0,5788.0
171,17100,1959.0,9,0,0,63,63,99.0,1122.0,762.0,2591.0,1692.0,5883.0
172,17200,2035.0,9,0,0,54,54,99.0,1122.0,762.0,2591.0,1711.0,5902.0
173,17300,1734.0,30,33,0,0,33,17.0,1122.0,762.0,2591.0,1711.0,5902.0
