RAM 2200/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [18%@1419,off,off,100%@1420,9%@1420,9%@1420] EMC_FREQ 5%@1600 GR3D_FREQ 6%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@46C BCPU@47.5C thermal@47.2C Tdiode@46C VDD_SYS_GPU 305/367 VDD_SYS_SOC 686/661 VDD_4V0_WIFI 19/7 VDD_IN 3281/3250 VDD_SYS_CPU 610/578 VDD_SYS_DDR 980/955
RAM 2223/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1421,off,off,100%@1420,0%@1422,9%@1421] EMC_FREQ 5%@1600 GR3D_FREQ 1%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@46C BCPU@47.5C thermal@47.2C Tdiode@46C VDD_SYS_GPU 305/364 VDD_SYS_SOC 686/662 VDD_4V0_WIFI 0/7 VDD_IN 3205/3248 VDD_SYS_CPU 610/580 VDD_SYS_DDR 961/956
RAM 2249/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1418,off,off,100%@1421,0%@1420,0%@1420] EMC_FREQ 4%@1600 GR3D_FREQ 1%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@46C BCPU@47.5C thermal@46.9C Tdiode@45.75C VDD_SYS_GPU 305/362 VDD_SYS_SOC 686/663 VDD_4V0_WIFI 0/7 VDD_IN 3205/3246 VDD_SYS_CPU 610/581 VDD_SYS_DDR 961/956
RAM 2274/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [15%@1419,off,off,100%@1421,9%@1420,0%@1419] EMC_FREQ 4%@1600 GR3D_FREQ 2%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@46C BCPU@47.5C thermal@46.9C Tdiode@45.75C VDD_SYS_GPU 305/359 VDD_SYS_SOC 686/664 VDD_4V0_WIFI 0/6 VDD_IN 3167/3243 VDD_SYS_CPU 610/582 VDD_SYS_DDR 942/955
RAM 2294/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1420,off,off,90%@1420,16%@1421,16%@1422] EMC_FREQ 4%@1600 GR3D_FREQ 1%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@46C BCPU@47.5C thermal@46.9C Tdiode@45.75C VDD_SYS_GPU 305/357 VDD_SYS_SOC 686/665 VDD_4V0_WIFI 0/6 VDD_IN 3167/3240 VDD_SYS_CPU 610/583 VDD_SYS_DDR 942/955
RAM 2316/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [9%@1419,off,off,100%@1420,0%@1421,8%@1420] EMC_FREQ 4%@1600 GR3D_FREQ 8%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@46C BCPU@47.5C thermal@46.9C Tdiode@45.75C VDD_SYS_GPU 305/355 VDD_SYS_SOC 686/666 VDD_4V0_WIFI 0/6 VDD_IN 3129/3236 VDD_SYS_CPU 610/584 VDD_SYS_DDR 942/954
RAM 2337/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1420,off,off,90%@1420,0%@1421,9%@1421] EMC_FREQ 4%@1600 GR3D_FREQ 1%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@47C BCPU@47.5C thermal@46.9C Tdiode@45.75C VDD_SYS_GPU 457/359 VDD_SYS_SOC 686/667 VDD_4V0_WIFI 0/6 VDD_IN 3319/3239 VDD_SYS_CPU 610/585 VDD_SYS_DDR 980/955
RAM 2345/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [16%@1420,off,off,70%@1420,0%@1420,0%@1421] EMC_FREQ 5%@1600 GR3D_FREQ 64%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@47.5C BCPU@47.5C thermal@46.9C Tdiode@47C VDD_SYS_GPU 839/375 VDD_SYS_SOC 686/667 VDD_4V0_WIFI 0/5 VDD_IN 3928/3262 VDD_SYS_CPU 534/583 VDD_SYS_DDR 1096/960
RAM 2347/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [0%@1421,off,off,72%@1420,0%@1420,0%@1420] EMC_FREQ 6%@1600 GR3D_FREQ 0%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@47C BCPU@47.5C thermal@46.9C Tdiode@47C VDD_SYS_GPU 1144/401 VDD_SYS_SOC 686/668 VDD_4V0_WIFI 0/5 VDD_IN 4348/3298 VDD_SYS_CPU 534/582 VDD_SYS_DDR 1211/968
RAM 2353/7850MB (lfb 607x4MB) SWAP 0/3925MB (cached 0MB) CPU [30%@1421,off,off,40%@1422,0%@1421,0%@1420] EMC_FREQ 7%@1600 GR3D_FREQ 0%@1122 VIC_FREQ 0%@115 APE 150 PLL@47.5C MCPU@47.5C PMIC@100C Tboard@43C GPU@48C BCPU@47.5C thermal@46.9C Tdiode@46.5C VDD_SYS_GPU 1373/432 VDD_SYS_SOC 762/671 VDD_4V0_WIFI 0/5 VDD_IN 4691/3343 VDD_SYS_CPU 534/580 VDD_SYS_DDR 1288/979
